---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-16520.000000,Y=2875.000000,Z=255.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=21.000000,Z=5.000000)",""
Row_1,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-15450.000000,Y=4325.000000,Z=255.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=12.500000,Z=5.000000)",""
Row_2,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-6100.000000,Y=-7225.000000,Z=905.000000)","(Pitch=0.000000,Yaw=179.999998,Roll=0.000000)","(X=4.375000,Y=43.250000,Z=11.750000)",""
Row_3,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-7350.000000,Y=-5025.000000,Z=1155.000000)","(Pitch=0.000000,Yaw=269.999997,Roll=0.000000)","(X=4.375000,Y=20.500000,Z=11.750000)",""
Row_4,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-9610.000000,Y=625.000030,Z=1155.000000)","(Pitch=0.000000,Yaw=359.999996,Roll=0.000000)","(X=2.375000,Y=57.250000,Z=11.750000)",""
Row_5,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-10100.000000,Y=4975.000000,Z=255.000000)","(Pitch=0.000000,Yaw=89.999999,Roll=0.000000)","(X=1.000000,Y=12.500000,Z=5.000000)",""
Row_6,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-6670.000000,Y=-13845.000000,Z=-235.000000)","(Pitch=0.000000,Yaw=254.999997,Roll=0.000000)","(X=2.000000,Y=16.125000,Z=10.500000)",""
Row_7,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-3630.000000,Y=-12945.000000,Z=-115.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=3.125000,Y=6.500000,Z=5.125000)",""
Row_8,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-10030.000000,Y=-12535.000000,Z=-235.000000)","(Pitch=0.000000,Yaw=199.999997,Roll=0.000000)","(X=1.625000,Y=12.125000,Z=10.500000)",""
Row_9,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-8780.000000,Y=-13695.000000,Z=-235.000000)","(Pitch=0.000000,Yaw=274.999996,Roll=0.000000)","(X=1.625000,Y=10.125000,Z=10.500000)",""
Row_10,/Script/CoreUObject.Class'/Script/Engine.BlockingVolume',"(X=-6555.000000,Y=-14240.000000,Z=65.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=0.500000,Y=1.000000,Z=1.000000)",""
